"LANGUAGE","繁體中文 (測試)","Language name (in native language). This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"LANGUAGE_CHOICE","選擇語言（需要重新啟動遊戲）","Heading for language selection menu."
"LANGUAGE_GAME","使用遊戲預設語言","Default selection in language selection menu."
"PRESS_ANY_KEY","請按任意鍵","Shown when awaiting user input when changing a key setting."
"MODDESCRIPTION","以不同的視角檢視您的城市","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","通用選項",""
"SETTINGS_GROUPNAME_CAMCONTROL","攝影機控制",""
"SETTINGS_GROUPNAME_FREECAM","自由模式設定",""
"SETTINGS_GROUPNAME_FOLLOWWALKTHRU","跟隨模式設定",""
"SETTINGS_GROUPNAME_WALKTHRU","漫遊模式設定",""
"SETTINGS_GROUPNAME_KEYMAP","按鍵設定",""
"SETTINGS_KEYMAPPINGCOMMENT","*滑鼠左鍵點選：變更按鍵/取消\n*滑鼠右鍵：移除",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","平滑過渡設定",""
"SETTINGS_RELOADBTN","重新載入設定",""
"SETTINGS_RESETBTN","重設設定",""
"SETTINGS_HIDEUI","隱藏遊戲UI",""
"SETTINGS_SETBACKCAMERA","退出後重置攝影機位置",""
"SETTINGS_SETBACKCAMERA_DETAIL","退出第一人稱攝影機後，將攝影機位置重置回先前的位置",""
"SETTINGS_USEMETRICUNIT","使用公制單位",""
"SETTINGS_SHOWINFOPANEL","顯示資訊面板",""
"SETTINGS_INFOPANELHEIGHTSCALE","資訊面板高度縮放因子",""
"SETTINGS_MAXPITSHDEG","最大垂直視角",""
"SETTINGS_MAXPITSHDEG_DETAIL","攝影機Y軸旋轉的最大角度",""
"SETTINGS_MOVEMENTSPEED","移動/偏移速度",""
"SETTINGS_SPEEDUPFACTOR","移動/偏移的加速因子",""
"SETTINGS_INVERTROTATEHORIZONTAL","反轉X軸旋轉",""
"SETTINGS_INVERTROTATEVERTICAL","反轉Y軸旋轉",""
"SETTINGS_ROTATESENSITIVITY","攝影機旋轉靈敏度",""
"SETTINGS_ROTATEKEYFACTOR","鍵盤旋轉速度",""
"SETTINGS_ENBALEDOF","景深效果",""
"SETTINGS_FIELDOFVIEW","攝影機視野",""
"SETTINGS_FIELDOFVIEW_DETAIL","攝影機的視野範圍（度）",""
"SETTINGS_SHOWCORSOR4FREE","自由模式下總是顯示遊標",""
"SETTINGS_GROUNDCLIPING","地面貼靠選項",""
"SETTINGS_GROUNDCLIPING_DETAIL","自由模式下：\n -[無] 自由移動\n -[高於地面] 攝影機總是在地面上方\n -[貼近地面] 攝影機貼著地面移動\n -[高於道路]攝影機總是在最近的道路上方\n -[貼近道路] 攝影機貼著最近的道路或地面移動",""
"SETTINGS_GROUNDCLIPING_NONE","無",""
"SETTINGS_GROUNDCLIPING_ABOVE_GROUND","高於地面",""
"SETTINGS_GROUNDCLIPING_SNAP_TO_GROUND","貼近地面",""
"SETTINGS_GROUNDCLIPING_ABOVE_ROAD","高於道路",""
"SETTINGS_GROUNDCLIPING_SNAP_TO_ROAD","貼近道路",""
"SETTINGS_GROUNDLEVELOFFSET","地面水平偏移",""
"SETTINGS_GROUNDLEVELOFFFSET_DETAIL","地面裁切選項的地面水平偏移",""
"SETTINGS_ROADLEVELOFFSET","道路水平偏移",""
"SETTINGS_ROADLEVELOFFSET_DETAIL","地面裁切選項的道路水平偏移",""
"SETTINGS_TARGETSTOFOLLOW","要跟隨的物件：",""
"SETTINGS_SHOWCURSOR4FOLLOW","跟隨/漫遊模式下始終顯示遊標",""
"SETTINGS_STICKTOFRONTVEHICLE","永遠跟著前方車輛走",""
"SETTINGS_LOOKAHEAD","前瞻",""
"SETTINGS_LOOKAHAND_DETAIL","攝影機朝向目標位置",""
"SETTINGS_INSTANTMOVEMAX","平滑過渡最小距離",""
"SETTINGS_INSTANTMOVEMAX_DETAIL","在跟隨模式下，即使啟用了平滑過渡，攝影機也需要立即跟隨目標。\n這設定了開始應用平滑過渡的最小距離。",""
"SETTINGS_FOLLOWCAMOFFSET","跟隨模式通用攝影機偏移",""
"SETTINGS_PERIOD4WALK","切換隨機目標的週期（秒）",""
"SETTINGS_MANUALSWITCH4WALK","右鍵手動切換目標",""
"SETTINGS_MANUALSWITCH4WALK_DETAIL","右鍵點擊來切換跟隨的目標。",""
"SETTINGS_SELECTPEDESTRIAN","行走中的市民",""
"SETTINGS_SELECTPASSENGER","正搭乘大眾運輸工具的市民",""
"SETTINGS_SELECTWAITING","等待大眾運輸工具中的市民",""
"SETTINGS_SELECTDRIVING","駕駛/乘坐車輛的市民",""
"SETTINGS_SELECTPUBLICTRANSIT","大眾運輸工具",""
"SETTINGS_SELECTSERVICE","服務車",""
"SETTINGS_SELECTCARGO","貨運車輛",""
"SETTINGS_KETCAMTOGGLE","切換第一人稱攝影機",""
"SETTINGS_KEYSPPEDUP","加速移動/偏移",""
"SETTINGS_KEYCAMRESET","重置攝影機偏移和旋轉",""
"SETTINGS_KEYCURSORTOGGLE","切換遊標可見性",""
"SETTINGS_KEYAUTOMOVE","自由模式下自動移動",""
"SETTINGS_KEYAUTOMOVE_DETAIL","在自由模式下，攝影機會自動向前移動。",""
